X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
-13171103.2159839,3990742.60716074,1685,LA County Department of Beaches and Harbors,,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,Los Angeles County Department of Beaches and Harbors,White Point - Royal Palms,1799 Paseo Del Mar,,San Pedro,CA,,"Visitors Center: 424-526-7900<br>
Beaches and Harbors: 424-526-7777 <br>
",http://beaches.lacounty.gov,,,1408,"Facilities: Tidepools, Swimming, Surfing, Diving, Picnic Tables, Children's Playground, Fishing, Waterside Promenade (Available for Event Rental), Restrooms, Showers, 
Aquarium: <a href=""http://www.cabrillomarineaquarium.org""> Cabrillo Marine Aquarium </a>

Parking Lot Maps:
<ul>
<li> <a href=""http://file.lacounty.gov/dbh/cms1_150302.gif""> Cover Sheet </a> </li>
<li> <a href=""http://file.lacounty.gov/dbh/cms1_150303.gif""> Upper Lot </a> </li>
<li> <a href=""http://file.lacounty.gov/dbh/cms1_150321.jpg""> Royal Palms Lot </a> </li>
</ul>

",90732,http://egis3.lacounty.gov/lms/?p=1408,publish,33.71608515,-118.31803322,2017/07/31 11:13:44+00,info@bh.lacounty.gov,,6464947.30226839,1719209.57465315
-13163237.2315769,4027478.3387638,1753,LA City Recreation and Parks,,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,LA City Department Recreation and Parks,Augustus F. Hawkins Natural Park,5790 Compton Ave,,Los Angeles,CA,"Monday through  Friday, 9:00am to 6:00pm; Saturday and Sunday, 9:00am to 5:00pm; holidays, 10:00am to 6:00pm. ",Service/Intake (323) 581-4498,www.laparks.org/dos.htm,,,1915,"The department provides recreational programs through operation and maintenance of Los Angeles City parks, playgrounds, swimming pools, golf courses and recreation centers.",90011,http://egis3.lacounty.gov/lms/?p=1915,publish,33.99014147,-118.24737188,2014/07/01 11:21:18+00,,,6486682.83983397,1818884.90450156
-13190121.4585182,4039094.99590009,2018,211,,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,www.laparks.org/dos.htm,Crestwood Hills Park,1000 Hanley Ave.,,Los Angeles,CA,"Monday through Friday, 10:00am to 5:00pm; Saturday and Sunday, 12:00pm to 4:00pm. Closed holidays. ",Service/Intake (310) 472-5233,www.laparks.org/dos.htm,,,2168,"The department provides recreational programs through operation and maintenance of Los Angeles City parks, playgrounds, swimming pools, golf courses and recreation centers.",90049,http://egis3.lacounty.gov/lms/?p=2168,publish,34.076621,-118.488877,2014/06/10 13:12:41+00,,,6413627.2785963,1850624.25867364
-13120082.9643408,4084607.44687992,13024,Current Services Locator,,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,US Geological Survey (USGS),Devil's Punchbowl Natural Area,28000 Devil'S Punchbowl Rd.,,Pearblossom,CA,"Monday through Sunday, 24 hours per day.",(661) 944-2743 (Primary),http://parks.lacounty.gov/wps/portal/dpr/Parks/Devils_Punchbowl_Natural_Area,,,13497,,93553,http://egis3.lacounty.gov/lms/?p=13497,publish,34.41458505,-117.8597105,2012/10/23 09:05:40+00,,,6603981.66265056,1973285.20298381
-13184701.8412871,4026048.15405427,13048,LA County Department of Beaches and Harbors,,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,Los Angeles County Department of Beaches and Harbors,Marina Del Rey Visitors Information Center,4701 Admiralty Way,,Marina Del Rey,CA,<p>The Visitors Center is open 7 days a week to provide free information for visitors to Marina del Rey and the Los Angeles County beaches. </p>,"<p>Visitors Center: 424-526-7900 </p>
<p>Beaches and Harbors: 424-526-7777 </p>",http://beaches.lacounty.gov,"<a href=""http://www.parks.ca.gov""> California State Parks </a>",,13521,"Burton Chace Park, 13650 Mindanao Way, Marina del Rey, CA 90292<br>
(Community Room available for public rental, barbecue grills, stroller and wheelchair accessible trails, guest boat docks)</br>
Dockweiler Youth Center (room available for conference rental) <br>
12505 Vista del Mar, Los Angeles CA 90245, call 310-726-4131 for information </br>
Anchorage 47 (in-the-water boat slips next to Burton Chace Park) <br>
Call 424-526-7890 for information, or e-mail DMarinaManager@bh.lacounty.gov </br>
Administration Building: 13837 Fiji Way, Marina del Rey CA 90292<br>
(Executive, Asset Management, Administrative Services)</br>
Fiscal: 13575 Mindanao Way, Marina del Rey CA 90292 <br>
(Payments for Lessees, Boat Slips, Dry Storage, Bike Lockers)</br>
Trailers: 13483 Fiji Way, Marina del Rey CA 90292<br>
(Beach Licenses and Permits, Planning, Human Resources, Facilities and Property Maintenance) </br>
<p>
<a href=""http://beaches.lacounty.gov/la-county-beach-bike-path/""> Beach Bike Path </a></p>",90292,http://egis3.lacounty.gov/lms/?p=13521,publish,33.97948845,-118.44019175,2017/07/20 07:59:42+00,info@bh.lacounty.gov,,6428215.37901323,1815207.99190789
-13187835.7588743,4079604.23532243,13059,Current Services Locator,,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,US Geological Survey (USGS),Placerita Canyon Nature Center,19152 Placerita Cyn Rd.,,Newhall,CA,,(661) 259-7721 (General Information),http://parks.lacounty.gov/Parkinfo.asp?URL=cms1_033380.asp&Title=Placerita%20Canyon%20Nature%20Area%20and%20Center,,,13528,,91321,http://egis3.lacounty.gov/lms/?p=13528,publish,34.37749889,-118.46834421,2012/10/23 10:56:48+00,,,6420355.19657089,1960088.49250065
-13209551.6967444,4055203.45413074,20552,LA City Recreation and Parks,1733450,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,LA City Department Recreation and Parks,El Escorpion Park,6801 Sunset Ridge Ct,,Los Angeles,CA,,,,,,22715,,,http://egis3.lacounty.gov/lms/?p=22715,publish,34.1963935,-118.6634218,2014/06/10 13:21:09+00,,,6361059.49593681,1894513.69057964
-13206469.9557789,4060092.90968315,20563,LA City Recreation and Parks,1733447,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,LA City Department Recreation and Parks,Chatsworth Nature Preserve and Reservoir,,,,,,,,,,22726,,,http://egis3.lacounty.gov/lms/?p=22726,publish,34.23271486,-118.63573805,2014/07/01 11:42:08+00,,,6369514.21590397,1907677.32763815
-13196471.434017,4067659.23514914,20565,HSIP Freedom Gnis_admin_featu,1733624,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,US Geological Survey (USGS) & LA County,Palisades Park,,,,,,,,,,22728,,,http://egis3.lacounty.gov/lms/?p=22728,publish,34.2888905,-118.5459198,2014/06/11 10:27:28+00,,,6396773.12693723,1927960.79133622
-13195110.8314934,4067846.3573596,20566,HSIP Freedom Gnis_admin_featu,1733552,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,US Geological Survey (USGS) & LA County,Aliso Canyon Park,,,,,,,,,,22729,,,http://egis3.lacounty.gov/lms/?p=22729,publish,34.2902793,-118.5336973,2014/06/10 12:39:20+00,,,6400467.62906264,1928446.36779289
-13205757.2561758,4061099.30866736,20569,LA City Recreation and Parks,1733446,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,LA City Department Recreation and Parks,Chatsworth Oaks Park,8751-9461 Valley Circle Blvd,,Los Angeles,CA,,,,,,22734,,,http://egis3.lacounty.gov/lms/?p=22734,publish,34.24018896,-118.62933576,2014/07/02 09:09:55+00,,,6371466.35504431,1910385.05713081
-13198419.5807745,4066835.92346676,20596,HSIP Freedom Gnis_admin_featu,1733609,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,Open Space,US Geological Survey (USGS) & LA County,Limekiln Canyon Park,,,,,,,,,,22762,,,http://egis3.lacounty.gov/lms/?p=22762,publish,34.2827797,-118.5634203,2014/06/11 09:59:16+00,,,6391474.62244238,1925766.16350764
-13207700.8899933,4058112.64849471,20597,LA City Recreation and Parks,1733475,Arts and Recreation,Natural Areas and Wildlife Sanctuaries,,LA City Department Recreation and Parks,Roscoe-Valley Circle Park,24116 De Quincy Ct,,Los Angeles,CA,,,,,,22763,,,http://egis3.lacounty.gov/lms/?p=22763,publish,34.21800636,-118.64679572,2014/05/23 16:11:08+00,,,6366137.56386463,1902346.07189648
